! !:0.0810779971474 #:0.00901133548532 $:0.00300578034682 &:0.00300578034682 ,:0.420391862473 A:0.0270280009008 @:0.0180196681931 E:0.0180196681931 D:0.0210224457623 G:0.0120141130546 M:3.00277756925e-06 L:0.0510502214548 O:0.135127993394 N:0.0360363336086 P:0.0240252233316 S:3.00277756925e-06 R:0.0300307784701 U:0.0120141130546 T:3.00277756925e-06 V:0.0300307784701 Y:3.00277756925e-06 X:3.00277756925e-06 Z:3.00277756925e-06 ^:0.0360363336086 ~:0.0330335560393 
# !:0.012056609455 #:0.505883769949 $:0.0241011743451 &:1.20445648901e-05 ,:0.0963685636856 A:0.012056609455 @:1.20445648901e-05 E:1.20445648901e-05 D:0.0361457392352 G:0.0241011743451 M:1.20445648901e-05 L:1.20445648901e-05 O:0.0481903041253 N:0.0361457392352 P:0.0361457392352 S:1.20445648901e-05 R:0.012056609455 U:0.012056609455 T:1.20445648901e-05 V:0.0361457392352 Y:1.20445648901e-05 X:1.20445648901e-05 Z:1.20445648901e-05 ^:0.0481903041253 ~:0.0602348690154 
$ !:0.00975978539203 #:4.87745396903e-06 $:0.0195146933301 &:0.0292696012681 ,:0.243877575905 A:0.0439019631752 @:4.87745396903e-06 E:0.004882331423 D:4.87745396903e-06 G:0.0146372393611 M:0.004882331423 L:4.87745396903e-06 O:0.0243921472991 N:0.336549201317 P:0.17071576637 S:4.87745396903e-06 R:0.0146372393611 U:0.00975978539203 T:4.87745396903e-06 V:0.0195146933301 Y:4.87745396903e-06 X:4.87745396903e-06 Z:4.87745396903e-06 ^:0.0487794171443 ~:0.004882331423 
N !:0.011381642762 #:0.00465643227584 $:0.00517375615939 &:0.0387998085902 ,:0.298496398132 A:0.00982967111134 @:0.00569108004294 E:0.0108643188784 D:0.00827769946069 G:0.0124162905291 M:5.1732388355e-07 L:0.00103516509098 O:0.0253493876179 N:0.153645710738 P:0.20486077521 S:0.000517841207434 R:0.0413864280079 U:0.0144855860633 T:0.00206981285809 V:0.129331488211 Y:5.1732388355e-07 X:5.1732388355e-07 Z:0.000517841207434 ^:0.0129336144126 ~:0.00827769946069 
P !:0.000803354667844 #:0.00160590678357 $:0.0353130956441 &:0.0024084588993 ,:0.0337079914127 A:0.0409309604542 @:0.020867157561 E:0.000803354667844 D:0.231135811882 G:0.00642121947794 M:8.02552115728e-07 L:0.020867157561 O:0.133224453763 N:0.119581067796 P:0.0192620533296 S:0.0024084588993 R:0.0192620533296 U:0.00321101101503 T:8.02552115728e-07 V:0.153288256656 Y:8.02552115728e-07 X:0.00401356313076 Z:0.00561866736221 ^:0.140447422805 ~:0.00481611524648 
S !:5.54785020804e-05 #:5.54785020804e-05 $:5.54785020804e-05 &:5.54785020804e-05 ,:0.0555339805825 A:0.111012482663 @:0.0555339805825 E:5.54785020804e-05 D:5.54785020804e-05 G:5.54785020804e-05 M:5.54785020804e-05 L:5.54785020804e-05 O:5.54785020804e-05 N:0.776754507628 P:5.54785020804e-05 S:5.54785020804e-05 R:5.54785020804e-05 U:5.54785020804e-05 T:5.54785020804e-05 V:5.54785020804e-05 Y:5.54785020804e-05 X:5.54785020804e-05 Z:5.54785020804e-05 ^:5.54785020804e-05 ~:5.54785020804e-05 
R !:0.00589227200766 #:0.00294687235374 $:0.00589227200766 &:0.00883767166157 ,:0.163471153492 A:0.151689554876 @:0.00147417252678 E:0.0103103714885 D:0.0353462685468 G:0.00589227200766 M:1.47269982696e-06 L:0.0191465704503 O:0.0751091638747 N:0.0147284709694 P:0.111926659549 S:1.47269982696e-06 R:0.0854180626634 U:0.00294687235374 T:1.47269982696e-06 V:0.281287139649 Y:1.47269982696e-06 X:1.47269982696e-06 Z:0.00147417252678 ^:0.0117830713155 ~:0.0044195721807 
U !:0.031749305831 #:0.238016660056 $:0.031749305831 &:0.0634827449425 ,:0.11108290361 A:0.0158825862753 @:0.031749305831 E:0.031749305831 D:1.58667195557e-05 G:0.0476160253868 M:1.58667195557e-05 L:1.58667195557e-05 O:0.0158825862753 N:1.58667195557e-05 P:0.0952161840539 S:1.58667195557e-05 R:1.58667195557e-05 U:0.0476160253868 T:1.58667195557e-05 V:0.0634827449425 Y:1.58667195557e-05 X:1.58667195557e-05 Z:1.58667195557e-05 ^:1.58667195557e-05 ~:0.174549781833 
T !:0.0113717693837 #:1.13604089747e-05 $:1.13604089747e-05 &:0.0113717693837 ,:0.204498721954 A:0.0227321783584 @:1.13604089747e-05 E:0.0113717693837 D:0.159057086055 G:0.0227321783584 M:1.13604089747e-05 L:1.13604089747e-05 O:0.0340925873331 N:0.0908946322068 P:0.249940357853 S:1.13604089747e-05 R:0.0681738142573 U:1.13604089747e-05 T:1.13604089747e-05 V:0.0568134052826 Y:1.13604089747e-05 X:1.13604089747e-05 Z:1.13604089747e-05 ^:0.0568134052826 ~:1.13604089747e-05 
V !:0.00411187629196 #:0.00137092998024 $:0.010507417686 &:0.010507417686 ,:0.0817720217905 A:0.0580171537557 @:0.00822329575953 E:0.00182775436553 D:0.145727435731 G:0.0027414031361 M:4.56824385286e-07 L:0.0100505933007 O:0.146184260116 N:0.0639558707644 P:0.163086762371 S:0.000457281209671 R:0.074462831626 U:0.000914105594957 T:0.0310645150238 V:0.15257980151 Y:4.56824385286e-07 X:0.000457281209671 Z:0.000914105594957 ^:0.0283235687121 ~:0.0027414031361 
Y !:0.000493827160494 #:0.000493827160494 $:0.000493827160494 &:0.000493827160494 ,:0.000493827160494 A:0.000493827160494 @:0.000493827160494 E:0.000493827160494 D:0.988148148148 G:0.000493827160494 M:0.000493827160494 L:0.000493827160494 O:0.000493827160494 N:0.000493827160494 P:0.000493827160494 S:0.000493827160494 R:0.000493827160494 U:0.000493827160494 T:0.000493827160494 V:0.000493827160494 Y:0.000493827160494 X:0.000493827160494 Z:0.000493827160494 ^:0.000493827160494 ~:0.000493827160494 
X !:6.65557404326e-05 #:6.65557404326e-05 $:6.65557404326e-05 &:6.65557404326e-05 ,:0.066622296173 A:6.65557404326e-05 @:6.65557404326e-05 E:6.65557404326e-05 D:0.465956738769 G:6.65557404326e-05 M:6.65557404326e-05 L:6.65557404326e-05 O:6.65557404326e-05 N:6.65557404326e-05 P:6.65557404326e-05 S:6.65557404326e-05 R:6.65557404326e-05 U:6.65557404326e-05 T:6.65557404326e-05 V:0.465956738769 Y:6.65557404326e-05 X:6.65557404326e-05 Z:6.65557404326e-05 ^:6.65557404326e-05 ~:6.65557404326e-05 
Z !:4.75624256837e-05 #:4.75624256837e-05 $:4.75624256837e-05 &:4.75624256837e-05 ,:0.0476099881094 A:0.237859690844 @:4.75624256837e-05 E:4.75624256837e-05 D:4.75624256837e-05 G:4.75624256837e-05 M:4.75624256837e-05 L:4.75624256837e-05 O:4.75624256837e-05 N:0.475671819263 P:0.0476099881094 S:4.75624256837e-05 R:4.75624256837e-05 U:4.75624256837e-05 T:4.75624256837e-05 V:0.0476099881094 Y:4.75624256837e-05 X:4.75624256837e-05 Z:4.75624256837e-05 ^:0.142734839477 ~:4.75624256837e-05 
^ !:0.00809340770498 #:0.00231322794139 $:0.0277460189012 &:0.0335261986648 ,:0.24854888587 A:0.0173416953267 @:0.00346926389411 E:0.0104054796104 D:0.00462529984683 G:0.00693737175226 M:1.15603595272e-06 L:0.00346926389411 O:0.0092494436577 N:0.122540967024 P:0.0670512412936 S:0.00231322794139 R:0.0173416953267 U:0.0219658391376 T:0.00115719198867 V:0.122540967024 Y:1.15603595272e-06 X:1.15603595272e-06 Z:0.00809340770498 ^:0.256641137539 ~:0.00462529984683 
~ !:0.033138735929 #:0.0175449539496 $:0.00974806295989 &:0.00195117197018 ,:0.033138735929 A:0.0175449539496 @:0.504850640807 E:0.00779884021247 D:0.0233926221919 G:0.00195117197018 M:1.94922274743e-06 L:0.0233926221919 O:0.0506817406559 N:0.0389864041713 P:0.0155957312022 S:1.94922274743e-06 R:0.0214433994445 U:0.0682247453828 T:1.94922274743e-06 V:0.0370371814239 Y:1.94922274743e-06 X:0.00584961746504 Z:0.00195117197018 ^:0.0428848496662 ~:0.0428848496662 
